mun7;areap;controle;peso;idade;sexof;ge_pia
2408102;2408102004008;4224088;21,289470;  0;Masculino;[0,15)
2408102;2408102004008;4254227;14,311122;  0;Feminino;[0,15)
2408102;2408102004008;4858082;19,225718;  0;Feminino;[0,15)
2408102;2408102004008;5288831;17,867265;  0;Feminino;[0,15)
2408102;2408102004008;5420925;20,900958;  0;Masculino;[0,15)
2408102;2408102004008;5498035;12,140924;  0;Masculino;[0,15)
2408102;2408102004008;5656272;15,665577;  0;Masculino;[0,15)
2408102;2408102004008;5832372;18,321589;  0;Feminino;[0,15)
2408102;2408102004008;6136145;13,806191;  0;Feminino;[0,15)
2408102;2408102004009; 166256;22,860293;  0;Masculino;[0,15)
2408102;2408102004009; 310316;21,416094;  0;Feminino;[0,15)
2408102;2408102004009; 815546;22,305103;  0;Masculino;[0,15)
2408102;2408102004009; 877334;13,178081;  0;Feminino;[0,15)
2408102;2408102004009; 904101; 2,954154;  0;Masculino;[0,15)
2408102;2408102004009; 924624;31,923537;  0;Feminino;[0,15)
2408102;2408102004009;1204524;10,667415;  0;Feminino;[0,15)
2408102;2408102004009;2577900;17,009522;  0;Feminino;[0,15)
2408102;2408102004009;3677833;26,803422;  0;Feminino;[0,15)
2408102;2408102004009;4001069;28,592766;  0;Feminino;[0,15)
2408102;2408102004009;4325938;14,575241;  0;Masculino;[0,15)
2408102;2408102004009;4572659;28,688891;  0;Feminino;[0,15)
2408102;2408102004009;4670499;23,004683;  0;Masculino;[0,15)
2408102;2408102004009;4739304;13,234644;  0;Masculino;[0,15)
2408102;2408102004009;5193950;16,356460;  0;Masculino;[0,15)
2408102;2408102004009;5506876;16,110849;  0;Feminino;[0,15)
2408102;2408102004009;5568295;21,215338;  0;Masculino;[0,15)
2408102;2408102004009;5676489; 3,213643;  0;Feminino;[0,15)
2408102;2408102004009;6072585;26,803422;  0;Feminino;[0,15)
2408102;2408102004009;6080197;21,666791;  0;Masculino;[0,15)
2408102;2408102004009;6094385;25,218689;  0;Feminino;[0,15)
2408102;2408102004010; 309346;19,570264;  0;Feminino;[0,15)
2408102;2408102004010; 315042;10,787589;  0;Feminino;[0,15)
2408102;2408102004010; 483674;29,974511;  0;Masculino;[0,15)
2408102;2408102004010; 583317;25,153169;  0;Feminino;[0,15)
2408102;2408102004010;1075773;28,422347;  0;Masculino;[0,15)
2408102;2408102004010;1490248;16,783625;  0;Feminino;[0,15)
2408102;2408102004010;1523124;26,435117;  0;Feminino;[0,15)
2408102;2408102004010;1675578;17,086389;  0;Masculino;[0,15)
2408102;2408102004010;2002342;11,992887;  0;Feminino;[0,15)
2408102;2408102004010;2127228;32,716660;  0;Masculino;[0,15)
2408102;2408102004010;2130327;36,941330;  0;Masculino;[0,15)
2408102;2408102004010;2370625;20,011746;  0;Feminino;[0,15)
2408102;2408102004010;2841456;19,401208;  0;Feminino;[0,15)
2408102;2408102004010;3354555;26,079796;  0;Masculino;[0,15)
2408102;2408102004010;3384896;28,833192;  0;Masculino;[0,15)
2408102;2408102004010;3723142; 8,396375;  0;Feminino;[0,15)
2408102;2408102004010;3804962;25,295296;  0;Feminino;[0,15)
2408102;2408102004010;3899374;18,095389;  0;Feminino;[0,15)
2408102;2408102004010;4084163;28,458791;  0;Feminino;[0,15)
2408102;2408102004010;4126517;17,371284;  0;Feminino;[0,15)
2408102;2408102004010;4273647;18,593096;  0;Feminino;[0,15)
2408102;2408102004010;4796768;42,401867;  0;Masculino;[0,15)
2408102;2408102004010;5095110;11,487608;  0;Feminino;[0,15)
2408102;2408102004010;5110072;24,213648;  0;Feminino;[0,15)
2408102;2408102004010;5642608;27,891050;  0;Masculino;[0,15)
2408102;2408102004010;6030845;26,435117;  0;Feminino;[0,15)
2408102;2408102004011; 366707;28,133277;  0;Masculino;[0,15)
2408102;2408102004011; 806663;32,598985;  0;Masculino;[0,15)
2408102;2408102004011; 882833;20,837443;  0;Feminino;[0,15)
2408102;2408102004011; 899949;26,787491;  0;Feminino;[0,15)
2408102;2408102004011;1130794;18,026602;  0;Feminino;[0,15)
2408102;2408102004011;1484961;10,521354;  0;Masculino;[0,15)
2408102;2408102004011;1785894;33,590258;  0;Masculino;[0,15)
2408102;2408102004011;1885321;43,097566;  0;Feminino;[0,15)
2408102;2408102004011;2568541;20,592146;  0;Feminino;[0,15)
2408102;2408102004011;2972074; 9,989168;  0;Feminino;[0,15)
2408102;2408102004011;5130931;10,831648;  0;Feminino;[0,15)
2408102;2408102004011;5256493;27,084115;  0;Masculino;[0,15)
2408102;2408102004012;1996707;26,702773;  0;Feminino;[0,15)
2408102;2408102004012;3210676;21,197922;  0;Masculino;[0,15)
2408102;2408102004012;3677393;27,498592;  0;Masculino;[0,15)
2408102;2408102004012;5359018;20,037370;  0;Feminino;[0,15)
2408102;2408102004012;5625853;23,363460;  0;Masculino;[0,15)
2408102;2408102004012;5786333;25,769002;  0;Masculino;[0,15)
2408102;2408102004012;5993053;13,481077;  0;Masculino;[0,15)
2408102;2408102004013;1529399;18,392336;  0;Masculino;[0,15)
2408102;2408102004013;2162386;19,765224;  0;Masculino;[0,15)
2408102;2408102004013;2346313;22,738422;  0;Masculino;[0,15)
2408102;2408102004013;3060470;43,701645;  0;Masculino;[0,15)
2408102;2408102004013;3749210;20,297942;  0;Feminino;[0,15)
2408102;2408102004013;4800281;30,230111;  0;Feminino;[0,15)
2408102;2408102004013;5090269;31,969264;  0;Feminino;[0,15)
2408102;2408102004013;5151026;42,500386;  0;Masculino;[0,15)
2408102;2408102004014; 171495;20,300238;  0;Feminino;[0,15)
2408102;2408102004014; 223994;19,673054;  0;Feminino;[0,15)
2408102;2408102004014; 670590;30,190660;  0;Feminino;[0,15)
2408102;2408102004014; 788341;15,246990;  0;Feminino;[0,15)
2408102;2408102004014; 812270;15,627503;  0;Masculino;[0,15)
2408102;2408102004014;1367357;16,987659;  0;Feminino;[0,15)
2408102;2408102004014;1753513; 9,663239;  0;Feminino;[0,15)
2408102;2408102004014;2279603;19,674025;  0;Feminino;[0,15)
2408102;2408102004014;2317118;13,011566;  0;Masculino;[0,15)
2408102;2408102004014;2345847;19,832092;  0;Feminino;[0,15)
2408102;2408102004014;2462964;16,516493;  0;Masculino;[0,15)
2408102;2408102004014;2680931;18,754242;  0;Masculino;[0,15)
2408102;2408102004014;2770250;31,847629;  0;Feminino;[0,15)
2408102;2408102004014;2770250;31,847629;  0;Masculino;[0,15)
2408102;2408102004014;2886130;16,218193;  0;Feminino;[0,15)
2408102;2408102004014;2933418;24,403141;  0;Masculino;[0,15)
2408102;2408102004014;3204191;17,111570;  0;Masculino;[0,15)
2408102;2408102004014;3367612;18,980784;  0;Feminino;[0,15)
2408102;2408102004014;3565449;22,948872;  0;Masculino;[0,15)
2408102;2408102004014;3990823;29,319904;  0;Feminino;[0,15)
2408102;2408102004014;4707033;13,791401;  0;Feminino;[0,15)
2408102;2408102004014;4757255;19,382971;  0;Masculino;[0,15)
2408102;2408102004014;4778277;19,138937;  0;Feminino;[0,15)
2408102;2408102004014;4922160;31,670657;  0;Masculino;[0,15)
2408102;2408102004014;5599697;36,400977;  0;Masculino;[0,15)
2408102;2408102004014;5905544;24,911539;  0;Feminino;[0,15)
2408102;2408102004014;6117673;20,399407;  0;Masculino;[0,15)
2408102;2408102004015; 231666;14,195793;  0;Feminino;[0,15)
2408102;2408102004015; 283877; 9,669828;  0;Masculino;[0,15)
2408102;2408102004015;1058573;17,268435;  0;Feminino;[0,15)
2408102;2408102004015;1853876;14,842388;  0;Masculino;[0,15)
2408102;2408102004015;2227155;25,313798;  0;Masculino;[0,15)
2408102;2408102004015;2948020;24,304300;  0;Masculino;[0,15)
2408102;2408102004015;3691568;15,583421;  0;Feminino;[0,15)
2408102;2408102004015;3896082;12,095134;  0;Feminino;[0,15)
2408102;2408102004015;4025598;17,731651;  0;Feminino;[0,15)
2408102;2408102004015;4137657;14,385187;  0;Feminino;[0,15)
2408102;2408102004015;4139717;19,988981;  0;Masculino;[0,15)
2408102;2408102004015;4139717;19,988981;  0;Feminino;[0,15)
2408102;2408102004015;4139717;19,988981;  0;Masculino;[0,15)
2408102;2408102004015;4260457;14,824415;  0;Masculino;[0,15)
2408102;2408102004015;4769896;25,464626;  0;Feminino;[0,15)
2408102;2408102004015;5106029; 6,397704;  0;Feminino;[0,15)
2408102;2408102004015;5255611; 7,162914;  0;Masculino;[0,15)
2408102;2408102004015;5435828;10,905109;  0;Feminino;[0,15)
2408102;2408102004015;5667101;20,166002;  0;Feminino;[0,15)
2408102;2408102004016; 871937;25,682521;  0;Masculino;[0,15)
2408102;2408102004016;1182389;22,825859;  0;Masculino;[0,15)
2408102;2408102004016;1213435;29,833507;  0;Feminino;[0,15)
2408102;2408102004016;1670223; 6,330757;  0;Masculino;[0,15)
2408102;2408102004016;1894687;19,861412;  0;Masculino;[0,15)
2408102;2408102004016;2112634;12,627124;  0;Feminino;[0,15)
2408102;2408102004016;2578683;20,639006;  0;Masculino;[0,15)
2408102;2408102004016;2835370;15,387148;  0;Feminino;[0,15)
2408102;2408102004016;2900372;34,067659;  0;Feminino;[0,15)
2408102;2408102004016;2980452;16,628657;  0;Feminino;[0,15)
2408102;2408102004016;2989761;31,590002;  0;Masculino;[0,15)
2408102;2408102004016;3089397;17,761321;  0;Feminino;[0,15)
2408102;2408102004016;3246967;24,421114;  0;Masculino;[0,15)
2408102;2408102004016;3833506;24,098238;  0;Masculino;[0,15)
2408102;2408102004016;4058094;20,586670;  0;Feminino;[0,15)
2408102;2408102004016;4163659;30,745618;  0;Masculino;[0,15)
2408102;2408102004016;4492934;24,168138;  0;Feminino;[0,15)
2408102;2408102004016;5248928;27,628559;  0;Masculino;[0,15)
2408102;2408102004016;5292497;18,192718;  0;Feminino;[0,15)
2408102;2408102004016;5536659;15,880714;  0;Masculino;[0,15)
2408102;2408102004016;5756193;13,405437;  0;Feminino;[0,15)
2408102;2408102004016;5794672;21,899437;  0;Masculino;[0,15)
2408102;2408102004016;6163951;33,689586;  0;Masculino;[0,15)
2408102;2408102004017; 185241;29,580950;  0;Masculino;[0,15)
2408102;2408102004017;1072573;20,656809;  0;Feminino;[0,15)
2408102;2408102004017;1377925;18,576175;  0;Masculino;[0,15)
2408102;2408102004017;2190859; 9,001588;  0;Masculino;[0,15)
2408102;2408102004017;2190859; 9,001588;  0;Masculino;[0,15)
2408102;2408102004017;2389479;21,273789;  0;Masculino;[0,15)
2408102;2408102004017;2535691;17,260572;  0;Masculino;[0,15)
2408102;2408102004017;2610506;12,476972;  0;Feminino;[0,15)
2408102;2408102004017;2712414;24,046981;  0;Masculino;[0,15)
2408102;2408102004017;2719370;14,689813;  0;Masculino;[0,15)
2408102;2408102004017;4356986;20,474521;  0;Masculino;[0,15)
2408102;2408102004017;4404367;18,817056;  0;Feminino;[0,15)
2408102;2408102004017;4655350;13,303279;  0;Masculino;[0,15)
2408102;2408102004017;4897754;23,978257;  0;Feminino;[0,15)
2408102;2408102004017;5574585;23,911193;  0;Masculino;[0,15)
2408102;2408102004017;5605423; 6,529512;  0;Masculino;[0,15)
2408102;2408102004018; 927480;17,766548;  0;Masculino;[0,15)
2408102;2408102004018;1192395;15,610804;  0;Feminino;[0,15)
2408102;2408102004018;2248451;23,221861;  0;Feminino;[0,15)
2408102;2408102004018;3087826;24,665210;  0;Masculino;[0,15)
2408102;2408102004018;3756533;19,657653;  0;Feminino;[0,15)
2408102;2408102004018;4460397;23,577385;  0;Masculino;[0,15)
2408102;2408102004018;4970197;12,852142;  0;Masculino;[0,15)
2408102;2408102004018;5130717;21,849539;  0;Masculino;[0,15)
2408102;2408102004018;5524540;18,495163;  0;Feminino;[0,15)
2408102;2408102004018;5983160;22,945763;  0;Feminino;[0,15)
2408102;2408102004019;  44155;14,312316;  0;Feminino;[0,15)
2408102;2408102004019; 167488;23,658003;  0;Masculino;[0,15)
2408102;2408102004019; 191040;18,848057;  0;Feminino;[0,15)
2408102;2408102004019; 622595;18,310750;  0;Masculino;[0,15)
