"";"V0011";"V0300";"V0010";"V6036";"mun7";"V0601f";"ge_pia"
"244896";"2408102004008";1044594;7,7290523969305;0;2408102;"Feminino";"[0,15)"
"244899";"2408102004008";1070926;18,7304268280433;0;2408102;"Masculino";"[0,15)"
"244915";"2408102004008";1164114;13,4264200076455;0;2408102;"Masculino";"[0,15)"
"244966";"2408102004008";1342845;29,3917020145934;0;2408102;"Masculino";"[0,15)"
"244979";"2408102004008";1407423;15,5235537607048;0;2408102;"Feminino";"[0,15)"
"245178";"2408102004008";2053032;19,0690698036401;0;2408102;"Feminino";"[0,15)"
"245198";"2408102004008";2081554;18,3764701130836;0;2408102;"Masculino";"[0,15)"
"245283";"2408102004008";2363479;20,3247463204571;0;2408102;"Feminino";"[0,15)"
"245356";"2408102004008";2785787;23,2774883803013;0;2408102;"Feminino";"[0,15)"
"245402";"2408102004008";2971042;21,6558337898821;0;2408102;"Feminino";"[0,15)"
"245501";"2408102004008";3371744;17,3617405006926;0;2408102;"Feminino";"[0,15)"
"245520";"2408102004008";3465260;10,4914561269621;0;2408102;"Feminino";"[0,15)"
"245535";"2408102004008";3500760;21,1072038735195;0;2408102;"Masculino";"[0,15)"
"245589";"2408102004008";3779982;11,8350875188631;0;2408102;"Masculino";"[0,15)"
"245658";"2408102004008";4224088;21,2894699450297;0;2408102;"Masculino";"[0,15)"
"245666";"2408102004008";4254227;14,3111224599251;0;2408102;"Feminino";"[0,15)"
"245783";"2408102004008";4858082;19,2257182824259;0;2408102;"Feminino";"[0,15)"
"245901";"2408102004008";5288831;17,8672653712019;0;2408102;"Feminino";"[0,15)"
"245925";"2408102004008";5420925;20,9009578722753;0;2408102;"Masculino";"[0,15)"
"245949";"2408102004008";5498035;12,1409237279122;0;2408102;"Masculino";"[0,15)"
"245997";"2408102004008";5656272;15,6655773399578;0;2408102;"Masculino";"[0,15)"
"246046";"2408102004008";5832372;18,3215892092937;0;2408102;"Feminino";"[0,15)"
"246156";"2408102004008";6136145;13,8061908315759;0;2408102;"Feminino";"[0,15)"
"246213";"2408102004009";166256;22,8602933651168;0;2408102;"Masculino";"[0,15)"
"246274";"2408102004009";310316;21,4160944851989;0;2408102;"Feminino";"[0,15)"
"246386";"2408102004009";815546;22,3051033950521;0;2408102;"Masculino";"[0,15)"
"246396";"2408102004009";877334;13,1780814968054;0;2408102;"Feminino";"[0,15)"
"246404";"2408102004009";904101;2,9541544459455;0;2408102;"Masculino";"[0,15)"
"246408";"2408102004009";924624;31,9235365397663;0;2408102;"Feminino";"[0,15)"
"246492";"2408102004009";1204524;10,6674153412381;0;2408102;"Feminino";"[0,15)"
"246884";"2408102004009";2577900;17,0095215836478;0;2408102;"Feminino";"[0,15)"
"247065";"2408102004009";3677833;26,8034218835542;0;2408102;"Feminino";"[0,15)"
"247136";"2408102004009";4001069;28,5927661848459;0;2408102;"Feminino";"[0,15)"
"247210";"2408102004009";4325938;14,5752413327231;0;2408102;"Masculino";"[0,15)"
"247286";"2408102004009";4572659;28,6888908370061;0;2408102;"Feminino";"[0,15)"
"247298";"2408102004009";4670499;23,0046825021141;0;2408102;"Masculino";"[0,15)"
"247318";"2408102004009";4739304;13,2346438147798;0;2408102;"Masculino";"[0,15)"
"247442";"2408102004009";5193950;16,3564603216518;0;2408102;"Masculino";"[0,15)"
"247545";"2408102004009";5506876;16,1108489338417;0;2408102;"Feminino";"[0,15)"
"247562";"2408102004009";5568295;21,2153382008224;0;2408102;"Masculino";"[0,15)"
"247580";"2408102004009";5676489;3,2136434637109;0;2408102;"Feminino";"[0,15)"
"247657";"2408102004009";6072585;26,8034218835542;0;2408102;"Feminino";"[0,15)"
"247660";"2408102004009";6080197;21,6667910614844;0;2408102;"Masculino";"[0,15)"
"247675";"2408102004009";6094385;25,2186892129617;0;2408102;"Feminino";"[0,15)"
"247735";"2408102004010";309346;19,5702644613605;0;2408102;"Feminino";"[0,15)"
"247738";"2408102004010";315042;10,7875885719376;0;2408102;"Feminino";"[0,15)"
"247757";"2408102004010";483674;29,9745108802209;0;2408102;"Masculino";"[0,15)"
"247793";"2408102004010";583317;25,1531685330522;0;2408102;"Feminino";"[0,15)"
"247877";"2408102004010";1075773;28,4223465680991;0;2408102;"Masculino";"[0,15)"
"247971";"2408102004010";1490248;16,7836251063889;0;2408102;"Feminino";"[0,15)"
"247985";"2408102004010";1523124;26,4351165529688;0;2408102;"Feminino";"[0,15)"
"248047";"2408102004010";1675578;17,08638943871;0;2408102;"Masculino";"[0,15)"
"248126";"2408102004010";2002342;11,9928867777624;0;2408102;"Feminino";"[0,15)"
"248161";"2408102004010";2127228;32,7166597293672;0;2408102;"Masculino";"[0,15)"
"248164";"2408102004010";2130327;36,9413304218362;0;2408102;"Masculino";"[0,15)"
"248230";"2408102004010";2370625;20,0117457166472;0;2408102;"Feminino";"[0,15)"
"248329";"2408102004010";2841456;19,4012076165235;0;2408102;"Feminino";"[0,15)"
"248449";"2408102004010";3354555;26,0797963528348;0;2408102;"Masculino";"[0,15)"
"248454";"2408102004010";3384896;28,8331918583748;0;2408102;"Masculino";"[0,15)"
"248544";"2408102004010";3723142;8,396375152266;0;2408102;"Feminino";"[0,15)"
"248571";"2408102004010";3804962;25,2952964194387;0;2408102;"Feminino";"[0,15)"
"248606";"2408102004010";3899374;18,0953888771309;0;2408102;"Feminino";"[0,15)"
